ID,name_product,price_product,number_purchaser,name_store,address
42,蜘蛛王男鞋新款春秋季真皮商务休闲皮鞋男士软底透气中年爸爸鞋子,286.00元,900+人收货,蜘蛛王金牌店,福建
43,回力男鞋春季黑色休闲板鞋运动冬季厨房纯黑皮鞋工作防滑防水潮鞋,89.00元,800+人收货,回力偶玉专卖店,福建
44,【100%全牛皮】特价清仓处理皮鞋男鞋真皮牛皮软底防滑商务休闲鞋,16.99元,800+人收货,建飞鞋业鞋店,浙江
45,啄木鸟男鞋2023冬季新款真皮软底加绒休闲潮流百搭运动皮鞋男板鞋,85.00元,800+人收货,啄木鸟中国奥特莱斯店,浙江
46,卡帝乐鳄鱼皮鞋男士真皮商务正装2024新款春季透气增高新郎结婚鞋,158.00元,800+人收货,卡帝乐鳄鱼鞋类旗舰店,福建
47,男鞋2024春秋新款潮流百搭黑色商务皮鞋男士真皮软底运动休闲鞋子,138.00元,800+人收货,菲力鸟旗舰店,浙江
48,蜻蜓牌休闲皮鞋男软底一脚蹬真皮男鞋高档牛皮防滑爸爸鞋透气鞋子,54.00元,800+人收货,蜻蜓男鞋专柜店,浙江
49,休闲皮鞋男秋冬季真皮加绒中年英伦正装商务男鞋软皮软底爸爸鞋黑,79.00元,800+人收货,布克狮旗舰店,浙江
50,老人头棉鞋男冬加绒厚底父亲中年真皮高帮保暖皮鞋皮毛一体雪地靴,222.00元,800+人收货,老人头旗舰店,浙江
51,男鞋春秋款2024新款厚底马丁靴男防水防滑运动休闲皮鞋工作劳保鞋,45.00元,800+人收货,潮骑旗舰店,福建
52,花花公子皮鞋男士商务正装真皮休闲秋冬新款加绒内增高结婚新郎鞋,138.00元,800+人收货,品牌皮鞋真皮店,浙江
53,红蜻蜓男鞋春秋新款通勤休闲皮鞋男士真皮皮鞋中老年一脚蹬爸爸鞋,249.00元,800+人收货,红蜻蜓男鞋官方旗舰店,浙江
54,TERRAINCOGNITA厚底轻质通勤百搭休闲雾面磨砂圆头米奇德比皮鞋男,529.00元,800+人收货,TERRAINCOGNITA线上商店,广东
55,巴黎厚底德比鞋男高级感黑色增高cleanfit皮鞋英伦通勤正装大头鞋,125.00元,700+人收货,好先生原创潮鞋,浙江
56,奥康男鞋2024春季新款商务鞋软底休闲系带圆头正装增高皮鞋男鞋子,169.00元,700+人收货,奥康凯特专卖店,浙江
57,红蜻蜓男鞋春秋结婚新郎鞋男士德比鞋真皮内增高商务正装皮鞋男款,234.00元,700+人收货,红蜻蜓男鞋官方旗舰店,浙江
58,增高5CM巴黎大头皮鞋男情侣加绒德比鞋复古高街帅气厚底德比鞋ins,158.00元,700+人收货,MT SHOES,浙江
59,皮鞋男春秋新款休闲鞋真皮男士皮鞋软牛皮透气商务男鞋豆豆鞋子男,78.00元,700+人收货,约翰佳丽鞋业,浙江
60,韩桥日记[幽渊系列]碳黑大头德比鞋潮男女米奇鞋厚底休闲皮鞋通勤,208.00元,700+人收货,韩桥日记HANQIAORIJI,浙江
61,骆驼2024男鞋秋春款男士休闲皮鞋加绒保暖爸爸鞋商务真皮运动鞋男,257.65元,700+人收货,骆驼服饰旗舰店,广东
62,【张杰同款如运动鞋轻便】KREATE丝绸001V米奇圆头德比厚底皮鞋男,559.00元,700+人收货,KREATE线上商店,浙江
63,安錔秋冬季男鞋2023新款休闲皮鞋男小白鞋运动百搭板鞋加绒棉鞋,25.00元,700+人收货,偏上旗舰店,福建
64,公牛世家春季男鞋百搭高帮真皮板鞋男士2024新款透气运动休闲,208.00元,700+人收货,公牛世家官方旗舰店,福建
65,秋冬季男鞋皮面防水鞋黑色男士休闲运动潮鞋防臭跑步鞋防滑工作鞋,28.40元,700+人收货,天天特卖工厂店,浙江
66,强人3515男鞋运动皮鞋真牛皮休闲鞋黑色软底跑步鞋子通勤男士皮鞋,159.00元,700+人收货,强人旗舰店,河南
67,冬季皮鞋男休闲大头米奇德比港风西装青年发型师宽脚英伦雅痞厚底,51.30元,700+人收货,润凡旗舰店,福建
68,皮鞋男黑色西装男鞋软底男士面试商务正装青年休闲鞋伴郎结婚婚鞋,18.90元,600+人收货,中国合伙人鞋业,江苏
69,厨王男鞋防水防油厨房防滑厨师鞋上班耐磨休闲皮鞋男士春秋工作鞋,138.00元,600+人收货,厨王旗舰店,湖南
70,红蜻蜓男鞋春季新款商务休闲皮鞋男士通勤正装皮鞋真皮中年爸爸鞋,199.00元,600+人收货,红蜻蜓男鞋官方旗舰店,浙江
71,大头皮鞋男款冬季休闲复古厚底增高德比鞋正装英伦风黑色宽脚潮鞋,69.00元,600+人收货,重新思考,福建
72,足力健旗舰店2024年春季中老年男皮鞋运动时尚休闲软底爸爸鞋父亲,219.40元,600+人收货,足力健旗舰店,广东
73,春秋男鞋2024新款夏季厨房防水防滑板鞋男士休闲皮鞋黑色工作劳保,25.80元,600+人收货,库都概念旗舰店,福建
74,厨盾厨师鞋防滑防水防油男专业厚底厨房餐饮后厨专用工作黑色,120.00元,600+人收货,厨盾旗舰店,山东
75,木林森男鞋断码清仓品牌特价处理男士真皮休闲皮鞋男爸爸鞋豆豆鞋,56.30元,600+人收货,木林森鞋服企业店,福建
76,皮鞋男款士韩版商务休闲真皮加绒英伦内增高正装高级感结婚新郎鞋,68.70元,600+人收货,英范旗舰店,浙江
77,正品WAKO滑克厨师鞋子男女防滑酒店工作厨房专用防水防油食堂餐厅,66.00元,600+人收货,厨房助手厨师鞋服,福建
78,巴黎米奇大头皮鞋男女情侣同款黑色单鞋粗跟厚底增高休闲德比鞋潮,128.00元,600+人收货,蓝小倪,广东
79,HLA/海澜之家男鞋结婚新郎鞋真皮父亲男士商务春秋正装皮鞋增高,309.00元,600+人收货,海澜之家鞋类旗舰店,福建
80,皮鞋男士夏季商务正装伴郎黑休闲内增高结婚西装透气英伦新郎男鞋,59.00元,600+人收货,木浔男鞋馆,山东
81,米奇德比鞋男厚底圆头哑光磨砂小皮鞋张杰同款cleanfit增高大头鞋,128.00元,600+人收货,清新潮鞋 原创工作室,浙江
82,际华3515强人正品男士春秋冬透气商务正装德比皮鞋休闲三接头皮鞋,159.00元,500+人收货,3515官方旗舰店,河南
83,安錔男鞋2023新款秋冬季厨房防滑休闲皮鞋男士工作上班板鞋劳保,39.00元,500+人收货,佐适旗舰店,福建
84,啄木鸟皮鞋男商务正装真皮休闲鞋加绒棉鞋男士尖头新郎结婚男鞋子,88.00元,500+人收货,啄木鸟直销店铺,浙江
85,男鞋春季2024新款百搭英伦休闲皮鞋男士真皮板鞋厚底运动工作潮鞋,111.00元,500+人收货,竞技骄子旗舰店,福建
86,品牌断码男鞋2024春秋季新款运动鞋男防臭夏季透气网面休闲鞋单鞋,78.00元,500+人收货,MAC JODN(正品)折扣店,福建
87,意尔康头层牛皮男鞋子春季新款男士皮鞋真皮透气软底中老年爸爸鞋,148.00元,500+人收货,意尔康舒康男鞋专柜,浙江
88,男士皮鞋男真皮春季2024新款商务正装潮流黑软底透气休闲鞋子男款,79.80元,500+人收货,年轻女经理,浙江
89,方头皮鞋男高级感厚底韩版小众黑色乐福鞋男冬季加绒潮增高德比鞋,133.00元,500+人收货,JIANXD极限男鞋,浙江
90,蜻蜓牌真皮男鞋商务休闲皮鞋男士软底头层牛皮鞋防滑中老年爸爸鞋,66.00元,500+人收货,蜻蜓品牌直销部,浙江
91,奥康男鞋春秋季真皮商务休闲工作皮鞋时尚套脚平底舒适爸爸鞋,300.55元,500+人收货,奥康鞋业旗舰店,浙江
92,马登英伦风德比工装男鞋春低帮马丁靴黑色圆头增高大头休闲皮鞋,159.90元,500+人收货,马登旗舰店,浙江
93,2024新款夏季男鞋透气百搭青少年休闲平板鞋男士皮鞋防水运动潮鞋,48.30元,500+人收货,dtd旗舰店,福建
94,木林森男鞋真皮秋冬新款休闲皮鞋男加绒保暖棉鞋增高软底防滑鞋子,168.00元,500+人收货,木林森男鞋鞋店,浙江
95,啄木鸟男鞋新款真皮休闲豆豆鞋一脚蹬驾车鞋秋冬季加绒中年男皮鞋,92.00元,500+人收货,啄木鸟中国直销店,浙江
96,商务正装休闲鞋英伦新郎真皮内增高西装软底结婚皮鞋男冬季加绒,168.00元,500+人收货,杰克军团旗舰店,浙江
97,HLA/海澜之家男鞋2024新款板鞋男士潮流透气商务英伦百搭休闲皮鞋,229.00元,500+人收货,海澜之家男鞋官方店,福建
98,骆驼男鞋2023秋季真皮软底商务休闲舒适防滑耐磨加绒中年爸爸皮鞋,283.00元,500+人收货,骆驼服饰旗舰店,广东
99,男鞋2024春季新款真皮软底透气休闲鞋子潮流百搭休闲皮鞋男士板鞋,138.00元,500+人收货,菲力鸟旗舰店,浙江
100,男士商务正装休闲皮鞋男三接头皮鞋黑色冬季德比新郎结婚皮鞋男款,68.00元,500+人收货,贝森曼旗舰店,河南
101,皮鞋男夏季英伦风商务工作鞋子板鞋男士上班休闲新款百搭男款男鞋,45.00元,500+人收货,弥森旗舰店,福建
102,奥康男鞋冬季软底休闲皮鞋男士真皮加绒爸爸皮鞋时尚日常百搭舒适,236.72元,500+人收货,奥康国际官方旗舰店,浙江
103,厨王黑色工作鞋男士厨师鞋后厨防水防油厨房防滑专用上班皮鞋秋季,138.00元,500+人收货,厨王旗舰店,湖南
